"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,141822409,"PC1"
"2","20160501OB-UV-2","Ocimene",14.001,4469100,"PC1"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PC1"
"4","20160501OB-UV-2","terpinolene",15.882,2275520,"PC1"
"5","20160501OB-UV-2","linalool",16.701,402533691,"PC1"
"6","20160501OB-UV-2","camphor",18.747,6724189,"PC1"
"7","20160501OB-UV-2","endo-borneol",19.99,3657022,"PC1"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,1987700,"PC1"
"9","20160501OB-UV-2","alpha-terpineol",21.169,16393392,"PC1"
"10","20160501OB-UV-2","octyl acetate",22.111,5335656,"PC1"
"11","20160501OB-UV-2","chavicol",23.917,3097691,"PC1"
"12","20160501OB-UV-2","bornyl acetate",25.34,33501324,"PC1"
"13","20160501OB-UV-2","gamma-elemene",27.455,10632074,"PC1"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"PC1"
"15","20160501OB-UV-2","eugenol",28.48,1586053479,"PC1"
"16","20160501OB-UV-2","alpha-copaene",29.346,3013457,"PC1"
"17","20160501OB-UV-2","beta-elemene",29.659,4379717,"PC1"
"18","20160501OB-UV-2","sesquiterpene a",29.978,63693467,"PC1"
"19","20160501OB-UV-2","methyleugenol",30.5,4834212,"PC1"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,2013802,"PC1"
"21","20160501OB-UV-2","beta-ylangene",31.129,7569325,"PC1"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,184471643,"PC1"
"23","20160501OB-UV-2","alpha-copaene",32.28,8061118,"PC1"
"24","20160501OB-UV-2","humulene",32.644,19362918,"PC1"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,11480779,"PC1"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,13024379,"PC1"
"27","20160501OB-UV-2","Germacrene D",33.71,55726071,"PC1"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,34542913,"PC1"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,40158199,"PC1"
"30","20160501OB-UV-2","gamma-cadinene",35.038,65586088,"PC1"
"31","20160501OB-UV-2","delta-cadinene",35.284,9155678,"PC1"
"32","20160501OB-UV-2","sesquiterpene b",35.55,6378595,"PC1"
"33","20160501OB-UV-2","alpha-cadinene",35.97,3046050,"PC1"
"34","20160501OB-UV-2","nerolidol",37.08,1515706,"PC1"
"35","20160501OB-UV-2","epicubenol",38.984,7768529,"PC1"
"36","20160501OB-UV-2","tau-cadinol",40.008,58566437,"PC1"
