,EXP.ID,COMPOUND,RT,ABUNDANCE,PROFILE.ID
,20160515OB-UVC-1,β-Pinene,10.874,25597356,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,β-Myrcene,11.712,15260354,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Eucalyptol,13.51,302188846,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,β-cis-Ocimene,14.506,56879596,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Terpinolene,16.388,15191936,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Linalool,17.086,456180039,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,d-Camphor,19.026,9664136,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,endo-Borneol,20.078,12635792,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Terpinen-4-ol,20.669,5389626,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,α-Terpineol,21.32,28976530,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Bornyl acetate,25.781,18226441,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene a,28.041,23354640,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Eugenol,29.151,1488483265,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Copaene,29.729,14397634,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,trans-Methyl cinnamate,30.02,8320071,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene b,30.144,5996519,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,β-Elemene,30.446,94083297,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Methyleugenol,31.083,260301492,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,β-ylangene,31.525,23261578,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene c,31.942,7903029,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,trans-α-Bergamotene,32.311,386220053,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,caryophyllene,32.582,8595585,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene d,32.683,14915916,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Humulene,32.947,58870390,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,(E)-β-Famesene,33.219,151970351,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene e,33.339,21684659,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,γ-Muurolene,33.934,6956107,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene f,34.086,103860887,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,Isocaryophillene,34.27,30457468,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene g,34.712,56087401,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene h,34.831,21680466,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,δ-Guaiene,35.108,60991140,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,β-Bisabolene,35.256,10770963,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,γ-Cadinene,35.424,84844382,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,sesquiterpene i,35.832,30480119,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,α-Cadinene,36.339,6883801,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,cubenol,39.305,7351332,20160515OB-UVC-1-C-F-1
,20160515OB-UVC-1,T-Cadinol,40.271,56312630,20160515OB-UVC-1-C-F-1
